depth_m,x_m,y_m,irradiance_W_m2,illuminance_lux
1,2.28785,10.24560,0,0
1,2.28785,10.44454,0,0
1,2.28785,10.64349,0,0
1,2.28785,10.84243,0,0
1,2.28785,11.04137,0,0
1,2.28785,11.24032,0,0
1,2.28785,11.43926,0,0
1,2.28785,11.63821,0,0
1,2.28785,11.83715,0,0
1,2.28785,12.03609,0,0
1,2.28785,12.23504,0,0
1,2.28785,12.43398,0,0
1,2.28785,12.63292,0,0
1,2.28785,12.83187,0,0
1,2.28785,13.03081,0,0
1,2.28785,13.22975,0,0
1,2.28785,13.42870,0,0
1,2.28785,13.62764,0,0
1,2.28785,13.82659,0,0
1,2.28785,14.02553,0,0
1,2.28785,14.22447,0,0
1,2.28785,14.42342,0,0
1,2.28785,14.62236,0,0
1,2.28785,14.82130,0,0
1,2.28785,15.02025,0,0
1,2.28785,15.21919,0,0
1,2.28785,15.41814,0,0
1,2.28785,15.61708,0,0
1,2.28785,15.81602,0,0
1,2.28785,16.01497,0,0
1,2.28785,16.21391,0,0
1,2.28785,16.41285,0,0
1,2.28785,16.61180,0,0
1,2.28785,16.81074,0,0
1,2.28785,17.00968,0,0
1,2.28785,17.20863,0,0
1,2.28785,17.40757,0,0
1,2.28785,17.60652,0,0
1,2.28785,17.80546,0,0
1,2.28785,18.00440,0,0
1,2.28785,18.20335,0,0
1,2.28785,18.40229,0,0
1,2.28785,18.60123,0,0
1,2.28785,18.80018,0,0
1,2.28785,18.99912,0,0
1,2.28785,19.19807,0,0
1,2.28785,19.39701,0,0
1,2.28785,19.59595,0,0
1,2.28785,19.79490,0,0
1,2.28785,19.99384,0,0
1,2.48680,5.27201,0,0
1,2.48680,5.47095,0,0
1,2.48680,5.66989,0,0
1,2.48680,5.86884,0,0
1,2.48680,6.06778,0,0
1,2.48680,6.26673,0,0
1,2.48680,6.46567,0,0
1,2.48680,6.66461,0,0
1,2.48680,6.86356,0,0
1,2.48680,7.06250,0,0
1,2.48680,7.26144,0,0
1,2.48680,7.46039,0,0
1,2.48680,7.65933,0,0
1,2.48680,7.85828,0,0
1,2.48680,8.05722,0,0
1,2.48680,8.25616,0,0
1,2.48680,8.45511,0,0
1,2.48680,8.65405,0,0
1,2.48680,8.85299,0,0
1,2.48680,9.05194,0,0
1,2.48680,9.25088,0,0
1,2.48680,9.44982,0,0
1,2.48680,9.64877,0,0
1,2.48680,9.84771,0,0
1,2.48680,10.04666,0,0
1,2.48680,10.24560,0,0
1,2.48680,10.44454,0,0
1,2.48680,10.64349,0,0
1,2.48680,10.84243,0,0
1,2.48680,11.04137,0,0
1,2.48680,11.24032,0,0
1,2.48680,11.43926,0,0
1,2.48680,11.63821,0,0
1,2.48680,11.83715,0,0
1,2.48680,12.03609,0,0
1,2.48680,12.23504,0,0
1,2.48680,12.43398,0,0
1,2.48680,12.63292,0,0
1,2.48680,12.83187,0,0
1,2.48680,13.03081,0,0
1,2.48680,13.22975,0,0
1,2.48680,13.42870,0,0
1,2.48680,13.62764,0,0
1,2.48680,13.82659,0,0
1,2.48680,14.02553,0,0
1,2.48680,14.22447,0,0
1,2.48680,14.42342,0,0
1,2.48680,14.62236,0,0
1,2.48680,14.82130,0,0
1,2.48680,15.02025,0,0
1,2.48680,15.21919,0,0
1,2.48680,15.41814,0,0
1,2.48680,15.61708,0,0
1,2.48680,15.81602,0,0
1,2.48680,16.01497,0,0
1,2.48680,16.21391,0,0
1,2.48680,16.41285,0,0
1,2.48680,16.61180,0,0
1,2.48680,16.81074,0,0
1,2.48680,17.00968,0,0
1,2.48680,17.20863,0,0
1,2.48680,17.40757,0,0
1,2.48680,17.60652,0,0
1,2.48680,17.80546,0,0
1,2.48680,18.00440,0,0
1,2.48680,18.20335,0,0
1,2.48680,18.40229,0,0
1,2.48680,18.60123,0,0
1,2.48680,18.80018,0,0
1,2.48680,18.99912,0,0
1,2.48680,19.19807,0,0
1,2.48680,19.39701,0,0
1,2.48680,19.59595,0,0
1,2.48680,19.79490,0,0
1,2.48680,19.99384,0,0
1,2.48680,20.19278,0,0
1,2.68574,5.07306,0,0
1,2.68574,5.27201,0,0
1,2.68574,5.47095,0,0
1,2.68574,5.66989,0,0
1,2.68574,5.86884,0,0
1,2.68574,6.06778,0,0
1,2.68574,6.26673,0,0
1,2.68574,6.46567,0,0
1,2.68574,6.66461,0,0
1,2.68574,6.86356,0,0
1,2.68574,7.06250,0,0
1,2.68574,7.26144,0,0
1,2.68574,7.46039,0,0
1,2.68574,7.65933,0,0
1,2.68574,7.85828,0,0
1,2.68574,8.05722,0,0
1,2.68574,8.25616,0,0
1,2.68574,8.45511,0,0
1,2.68574,8.65405,0,0
1,2.68574,8.85299,0,0
1,2.68574,9.05194,0,0
1,2.68574,9.25088,0,0
1,2.68574,9.44982,0,0
1,2.68574,9.64877,0,0
1,2.68574,9.84771,0,0
1,2.68574,10.04666,0,0
1,2.68574,10.24560,0,0
1,2.68574,10.44454,0,0
1,2.68574,10.64349,0,0
1,2.68574,10.84243,0,0
1,2.68574,11.04137,0,0
1,2.68574,11.24032,0,0
1,2.68574,11.43926,0,0
1,2.68574,11.63821,0,0
1,2.68574,11.83715,0,0
1,2.68574,12.03609,0,0
1,2.68574,12.23504,0,0
1,2.68574,12.43398,0,0
1,2.68574,12.63292,0,0
1,2.68574,12.83187,0,0
1,2.68574,13.03081,0,0
1,2.68574,13.22975,0,0
1,2.68574,13.42870,0,0
1,2.68574,13.62764,0,0
1,2.68574,13.82659,0,0
1,2.68574,14.02553,0,0
1,2.68574,14.22447,0,0
1,2.68574,14.42342,0,0
1,2.68574,14.62236,0,0
1,2.68574,14.82130,0,0
1,2.68574,15.02025,0,0
1,2.68574,15.21919,0,0
1,2.68574,15.41814,0,0
1,2.68574,15.61708,0,0
1,2.68574,15.81602,0,0
1,2.68574,16.01497,0,0
1,2.68574,16.21391,0,0
1,2.68574,16.41285,0,0
1,2.68574,16.61180,0,0
1,2.68574,16.81074,0,0
1,2.68574,17.00968,0,0
1,2.68574,17.20863,0,0
1,2.68574,17.40757,0,0
1,2.68574,17.60652,0,0
1,2.68574,17.80546,0,0
1,2.68574,18.00440,0,0
1,2.68574,18.20335,0,0
1,2.68574,18.40229,0,0
1,2.68574,18.60123,0,0
1,2.68574,18.80018,0,0
1,2.68574,18.99912,0,0
1,2.68574,19.19807,0,0
1,2.68574,19.39701,0,0
1,2.68574,19.59595,0,0
1,2.68574,19.79490,0,0
1,2.68574,19.99384,0,0
1,2.68574,20.19278,0,0
1,2.68574,20.39173,0,0
1,2.88468,4.67518,0,0
1,2.88468,4.87412,0,0
1,2.88468,5.07306,0,0
1,2.88468,5.27201,0,0
1,2.88468,5.47095,0,0
1,2.88468,5.66989,0,0
1,2.88468,5.86884,0,0
1,2.88468,6.06778,0,0
1,2.88468,6.26673,0,0
1,2.88468,6.46567,0,0
1,2.88468,6.66461,0,0
1,2.88468,6.86356,0,0
1,2.88468,7.06250,0,0
1,2.88468,7.26144,0,0
1,2.88468,7.46039,0,0
1,2.88468,7.65933,0,0
1,2.88468,7.85828,0,0
1,2.88468,8.05722,0,0
1,2.88468,8.25616,0,0
1,2.88468,8.45511,0,0
1,2.88468,8.65405,0,0
1,2.88468,8.85299,0,0
1,2.88468,9.05194,0,0
1,2.88468,9.25088,0,0
1,2.88468,9.44982,0,0
1,2.88468,9.64877,0,0
1,2.88468,9.84771,0,0
1,2.88468,10.04666,0,0
1,2.88468,10.24560,0,0
1,2.88468,10.44454,0,0
1,2.88468,10.64349,0,0
1,2.88468,10.84243,0,0
1,2.88468,11.04137,0,0
1,2.88468,11.24032,0,0
1,2.88468,11.43926,0,0
1,2.88468,11.63821,0,0
1,2.88468,11.83715,0,0
1,2.88468,12.03609,0,0
1,2.88468,12.23504,0,0
1,2.88468,12.43398,0,0
1,2.88468,12.63292,0,0
1,2.88468,12.83187,0,0
1,2.88468,13.03081,0,0
1,2.88468,13.22975,0,0
1,2.88468,13.42870,0,0
1,2.88468,13.62764,0,0
1,2.88468,13.82659,0,0
1,2.88468,14.02553,0,0
1,2.88468,14.22447,0,0
1,2.88468,14.42342,0,0
1,2.88468,14.62236,0,0
1,2.88468,14.82130,0,0
1,2.88468,15.02025,0,0
1,2.88468,15.21919,0,0
1,2.88468,15.41814,0,0
1,2.88468,15.61708,0,0
1,2.88468,15.81602,0,0
1,2.88468,16.01497,0,0
1,2.88468,16.21391,0,0
1,2.88468,16.41285,0,0
1,2.88468,16.61180,0,0
1,2.88468,16.81074,0,0
1,2.88468,17.00968,0,0
1,2.88468,17.20863,0,0
1,2.88468,17.40757,0,0
1,2.88468,17.60652,0,0
1,2.88468,17.80546,0,0
1,2.88468,18.00440,0,0
1,2.88468,18.20335,0,0
1,2.88468,18.40229,0,0
1,2.88468,18.60123,0,0
1,2.88468,18.80018,0,0
1,2.88468,18.99912,0,0
1,2.88468,19.19807,0,0
1,2.88468,19.39701,0,0
1,2.88468,19.59595,0,0
1,2.88468,19.79490,0,0
1,2.88468,19.99384,0,0
1,2.88468,20.19278,0,0
1,2.88468,20.39173,0,0
1,2.88468,20.59067,0,0
1,2.88468,20.78961,0,0
1,3.08363,4.47623,0,0
1,3.08363,4.67518,0,0
1,3.08363,4.87412,0,0
1,3.08363,5.07306,0,0
1,3.08363,5.27201,0,0
1,3.08363,5.47095,0,0
1,3.08363,5.66989,0,0
1,3.08363,5.86884,0,0
1,3.08363,6.06778,0,0
1,3.08363,6.26673,0,0
1,3.08363,6.46567,0,0
1,3.08363,6.66461,0,0
1,3.08363,6.86356,0,0
1,3.08363,7.06250,0,0
1,3.08363,7.26144,0,0
1,3.08363,7.46039,0,0
1,3.08363,7.65933,0,0
