f_power,dz,pos_jitter,c550,omega,eta,blue__misfit,blue__level,blue__pattern,green__misfit,green__level,green__pattern,red__misfit,red__level,red__pattern,par__misfit,par__level,par__pattern
0.9,-1.0,1.3333333333333333,0.85,0.95,2.0,1.2842583445381495,1.2836641858375266,0.6331993088681167,1.4381696647701956,1.4380190399953614,0.736292397391135,2.89635844748331,2.736253845592922,0.6069345435241412,1.4330625577879232,1.4323290156885595,0.5729058463237069
0.9,-1.0,0.0,0.85,0.95,2.0,1.3322659095435374,1.3316511171583962,0.5856112150881382,1.4697655272039514,1.469586956991599,0.5911138306637186,2.6910228430104532,2.617489365244606,0.5925536814901462,1.3660539127864386,1.366015691594073,0.6088338032332168
1.3,-1.0,0.0,0.85,0.95,2.0,1.4413942204403094,1.441391874575997,0.5183507383264441,1.6287290841524449,1.6279762307306767,0.550195667262257,2.743600437445283,2.7198801102419377,0.47221209786092194,1.6250607030741877,1.625011174502276,0.49799846831928146
1.3,-1.0,0.0,0.85,0.95,-0.33333333333333326,1.813691931275625,1.8133330943412038,0.5975023633634691,1.6702979204999602,1.6702845831388549,0.7146502720857667,2.7827543557456558,2.5477568148500915,0.972490943646999,1.7804988820791836,1.78049885382146,0.6882264692627901
1.3,0.6666666666666665,0.0,0.85,0.95,-0.33333333333333326,1.900025986335861,1.9000229210300068,0.5136744738528808,1.7669714612550753,1.7669422816752491,0.6265459871750271,2.800102666879102,2.583606546471089,0.7795346255664678,1.8784106823940618,1.8784104441241154,0.590598555561308
1.1,-1.0,1.3333333333333333,0.5,0.6833333333333333,2.0,0.8863626248093435,0.8858970090036886,0.4990629700547726,1.206920485044242,1.2066852407398079,0.6131019781131124,2.303531841420727,2.2472979581006287,0.5419143833492382,1.0665504931318603,1.066513757548128,0.5659912447731397
1.1,-1.0,1.3333333333333333,1.2,0.6833333333333333,2.0,0.9515964208534716,-0.9510762078266128,0.8299617678920497,0.7516537916411921,-0.43724247942585365,1.05414301310918,1.1111868297042615,0.5712004224156753,1.4000669009929547,0.7819745080958133,-0.6441539979319275,0.7903058596686353
1.1,-1.0,1.3333333333333333,1.2,0.6833333333333333,-0.33333333333333326,0.430658822095267,0.1788577591188123,0.6785193907733162,0.5200323644858624,-0.22776633745202357,0.7166831008208828,1.6754956833040147,0.41117802253767366,1.87376607108595,0.3673016749612828,0.11956438873257014,0.6116412110256382
1.1,0.6666666666666665,1.3333333333333333,1.2,0.6833333333333333,-0.33333333333333326,0.5065051353935067,0.4215397882462161,0.5648825962067335,0.49869517414232056,0.20660804860176352,0.8229975286776341,1.5118805270711528,0.7675954798573428,1.2437096534044276,0.4917027220260967,0.40619519461764036,0.63539356499387
1.1,0.6666666666666665,0.0,1.2,0.6833333333333333,-0.33333333333333326,0.49589885132635136,0.360951616858104,0.618979418637819,0.5837513590039874,0.19571732714677356,0.8641178964943915,1.749883394119077,1.010058563756057,1.3233625413410341,0.5456058803040021,0.3989523970851594,0.6074657810870457
0.7,0.6666666666666665,0.0,1.2,0.6833333333333333,-0.33333333333333326,0.37692511301154075,0.17090967497832282,0.6866600931178163,0.5336538030930762,-0.0046805352649083865,0.790712514485278,1.5378222200320586,0.16416896711067164,2.0354725843825547,0.45517234421324854,0.10267633244931429,0.6931400106733182
0.7,0.6666666666666665,0.0,1.2,0.95,-0.33333333333333326,1.4583962777817185,1.4583923905253875,0.4169671008847588,1.126888512165847,1.1267515940858908,0.5635969071129691,2.7191851134960934,2.1722117076675715,1.0404385543073866,1.4247780434546855,1.4247465794282006,0.4183962649244647
0.9,1.5,2.0,1.2,0.95,2.0,1.2925487361539179,1.2924994966332748,0.5900549415029819,1.4421817258291976,1.4415430097936248,0.5680886173994137,2.577714875511011,2.296812575445984,0.9233770137270259,1.3783404527622072,1.37830744888719,0.5365468289590148
0.9,1.5,2.0,0.5,0.95,2.0,1.9190464387142987,1.9168534462061404,0.5015961339707103,1.8038710194568226,1.803567028401504,0.5732423189579381,2.802092615483502,2.8020900703101628,0.6576003184008496,1.898944188878575,1.8972228530975088,0.5280440957422587
0.9,1.5,2.0,0.5,0.6833333333333333,2.0,1.0531535131988141,1.0530531075424099,0.4536788414611914,1.2752717051755367,1.2752284680131092,0.5246583955875141,2.4110519984747207,2.1075129560337613,1.1689195461033524,1.1796908618995876,1.1792401004433435,0.3962499487650085
0.9,1.5,2.0,0.5,0.6833333333333333,-0.33333333333333326,1.4984590246338543,1.4984466419957387,0.46484130411420227,1.4248576250918397,1.4248497312738944,0.5127032002730174,2.1715964671779444,2.048140652391007,0.9198180052582334,1.4558691715269518,1.4558492852268854,0.4430535335316724
0.9,-0.16666666666666652,2.0,0.5,0.6833333333333333,-0.33333333333333326,1.2710126120426757,1.2705118231254875,0.5739857213486418,1.1343612681272723,1.134299130321337,0.49898221860242925,2.059101128380738,1.941482659436614,1.030725806103161,1.276543985829857,1.2758500817789837,0.5386603168159294
1.3,-0.16666666666666652,2.0,0.5,0.6833333333333333,-0.33333333333333326,1.4846424210253202,1.484418088517303,0.6003419962643479,1.4437839629926508,1.4432247595297745,0.5636937823775204,2.13972482714375,2.022525272179312,1.1349405658716598,1.486802805330959,1.4867503750730766,0.5972222460720268
